mmsi,timestamp_utc,longitude,latitude,sog_knots,cog_deg,heading_deg,vessel_name,vessel_type,length_m,source
419001001,2026-08-31T16:00:00Z,71.507085,18.101006,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:02:00Z,71.511201,18.104920,9.8,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:04:00Z,71.515336,18.108859,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:06:00Z,71.519455,18.112772,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:08:00Z,71.523588,18.116679,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:10:00Z,71.527720,18.120597,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:12:00Z,71.531820,18.124518,9.6,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:14:00Z,71.535963,18.128440,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:16:00Z,71.540093,18.132372,9.5,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:18:00Z,71.544212,18.136295,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:20:00Z,71.548328,18.140212,9.8,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:22:00Z,71.552462,18.144148,9.8,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:24:00Z,71.556596,18.148068,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:26:00Z,71.560722,18.151982,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:28:00Z,71.564838,18.155903,10.3,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:30:00Z,71.568961,18.159832,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:32:00Z,71.573097,18.163764,10.2,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:34:00Z,71.577218,18.167666,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:36:00Z,71.581356,18.171594,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:38:00Z,71.585491,18.175523,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:40:00Z,71.589614,18.179425,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:42:00Z,71.593727,18.183345,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:44:00Z,71.597876,18.187284,9.7,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:46:00Z,71.601986,18.191200,9.6,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:48:00Z,71.606117,18.195114,10.3,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:50:00Z,71.610256,18.199033,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:52:00Z,71.614375,18.202973,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:54:00Z,71.618502,18.206882,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:56:00Z,71.622631,18.210789,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T16:58:00Z,71.626757,18.214733,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:00:00Z,71.630889,18.218649,9.9,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:02:00Z,71.635028,18.222564,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:04:00Z,71.639133,18.226489,9.7,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:06:00Z,71.643254,18.230404,9.8,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:08:00Z,71.647405,18.234350,9.8,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:10:00Z,71.651525,18.238251,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:12:00Z,71.655658,18.242169,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:14:00Z,71.659794,18.246082,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:16:00Z,71.663918,18.250003,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:18:00Z,71.668038,18.253944,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:20:00Z,71.672177,18.257850,10.0,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:22:00Z,71.676285,18.261766,10.1,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:24:00Z,71.680413,18.265707,9.7,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:26:00Z,71.684571,18.269611,10.2,45,45,SYNTH TANKER A,tanker,180,synthetic
419001001,2026-08-31T17:28:00Z,71.688695,18.273526,10.2,45,45,SYNTH TANKER A,tanker,180,synthetic
